
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
7.199744224548     -5.432036876678     -0.009999754839     


Cycle 1
Physical Cycle 1
Step 2

Time (s),          Potential (V),         Current (A)
7.199744224548     -1.000033020973     -0.002507851459     
14.399488449097     -0.999979972839     -0.003526659450     
21.599231719971     -0.999927997589     -0.004638946615     
28.798976898193     -0.999895989895     -0.005106868688     
35.998718261719     -0.999895989895     -0.005177635234     
43.198463439941     -0.999895989895     -0.005210231990     
50.398208618164     -0.999885976315     -0.005270273425     
57.597953796387     -0.999885976315     -0.005353132263     
64.797698974609     -0.999875009060     -0.005432836711     
71.997436523438     -0.999875009060     -0.005475633312     
79.197181701660     -0.999885976315     -0.005469218828     
86.396926879883     -0.999885976315     -0.005420323927     
93.596672058105     -0.999885976315     -0.005344930571     
100.796417236328     -0.999895989895     -0.005260494072     
107.996162414551     -0.999895989895     -0.005170590244     
115.195907592773     -0.999907016754     -0.005078688264     
122.395645141602     -0.999907016754     -0.004993200302     
129.595397949219     -0.999907016754     -0.004916755483     
136.795135498047     -0.999916970730     -0.004843991250     
143.994873046875     -0.999916970730     -0.004767861683     
151.194625854492     -0.999927997589     -0.004695307463     
158.394363403320     -0.999927997589     -0.004632847849     
165.594116210938     -0.999927997589     -0.004578169435     
172.793853759766     -0.999927997589     -0.004527276382     
179.993606567383     -0.999927997589     -0.004477224313     
187.193344116211     -0.999938011169     -0.004428539425     
194.393081665039     -0.999938011169     -0.004381431732     
201.592834472656     -0.999938011169     -0.004336637445     
208.792572021484     -0.999938011169     -0.004295733757     
215.992324829102     -0.999938011169     -0.004256617744     
223.192062377930     -0.999938011169     -0.004218553193     
230.391815185547     -0.999948978424     -0.004181434866     
237.591552734375     -0.999948978424     -0.004145683255     
244.791290283203     -0.999948978424     -0.004111193586     
251.991043090820     -0.999948978424     -0.004078176338     
259.190795898438     -0.999948978424     -0.004045684822     
266.390533447266     -0.999958992004     -0.004015085753     
273.590270996094     -0.999958992004     -0.003984907642     
280.790008544922     -0.999958992004     -0.003955465276     
287.989746093750     -0.999958992004     -0.003927074373     
295.189514160156     -0.999958992004     -0.003899419680     
302.389251708984     -0.999970018864     -0.003872921690     
309.588989257813     -0.999970018864     -0.003847790649     
316.788726806641     -0.999970018864     -0.003823080100     
323.988494873047     -0.999970018864     -0.003799316008     
331.188232421875     -0.999970018864     -0.003777444595     
338.387969970703     -0.999970018864     -0.003755993675     
345.587707519531     -0.999970018864     -0.003735909937     
352.787445068359     -0.999970018864     -0.003716877662     
359.987213134766     -0.999970018864     -0.003698265878     
367.186950683594     -0.999970018864     -0.003679654095     
374.386688232422     -0.999979972839     -0.003662934992     
381.586425781250     -0.999979972839     -0.003645374905     
388.786163330078     -0.999979972839     -0.003628235310     
395.985931396484     -0.999979972839     -0.003610674990     
403.185668945313     -0.999979972839     -0.003593114903     
410.385406494141     -0.999979972839     -0.003576290561     
417.585144042969     -0.999979972839     -0.003560202662     
424.784881591797     -0.999979972839     -0.003544219537     
431.984649658203     -0.999979972839     -0.003528657369     
439.184387207031     -0.999979972839     -0.003513410455     
446.384124755859     -0.999990999699     -0.003497532569     
453.583862304688     -0.999990999699     -0.003483757842     
460.783630371094     -0.999990999699     -0.003467669711     
467.983367919922     -0.999979972839     -0.003452107310     
475.183105468750     -0.999979972839     -0.003436965635     
482.382843017578     -0.999990999699     -0.003423085669     
489.582580566406     -0.999990999699     -0.003409626428     
496.782348632813     -0.999990999699     -0.003395956708     
503.982086181641     -0.999990999699     -0.003382707713     
511.181823730469     -0.999990999699     -0.003369879210     
518.381591796875     -0.999990999699     -0.003356630215     
525.581298828125     -0.999990999699     -0.003344222438     
532.781066894531     -0.999990999699     -0.003332866123     
